Title,Genres,Release Date,Release Country,Movie Rating,Review Rating,Movie Run Time,Plot,Cast,Language,Filming Locations,Budget,Cast Member,Cast Member Frequency,Director,Title Word,Title Word Frequency,Description Word,Description Word Frequency,Genres Word,Genres Frequency
Death Walks," Comedy,  Horror,  Mystery,  Thriller",1-Jul-16,UK,,4.6,85 min,"Directed by Spencer Hawken. With Francesca Ciardi, Lucinda Rhodes Thakrar, Jessie Williams, Joanna Finata. Late one night a shopping centre receives an unexpected visitor, what begins as an act of kindness turns into a night of horror.","Francesca Ciardi, Lucinda Rhodes Thakrar, Jessie Williams, Joanna Finata, Scott Mullins, Daniel Smales, Martin Holland, Jon Guerriero, Peter James Hole, Jordan Grehs, Stief a Billy, Andy Kemp, Timothy McDevitt, Tyrone Nestor, Karis Pentecost",English,"The Mercury Mall, Romford, Essex, England, UK",,Nikko Ponce,2,Spencer Hawken,cloth,1,hills,9,,
Everglades Killings, Horror,12-Nov-16,USA,,3.6,80 min,"Directed by Ben Wilder. With Sydney Ray, Nicholas Kolasinski, Peter Pontone, Robert Futrell. It's March in South Florida. The beach towns are flush with young people looking for action and excitement. For one unlucky group of thrill-seeking spring breakers, their adventure leads to the black waters of the Florida Everglades - a place with mosquitoes the size of birds, snakes as long as school busses and tens of thousands of flesh-ripping alligators. But beyond the scope of the ...","Sydney Ray, Nicholas Kolasinski, Peter Pontone, Robert Futrell, Camisha Luellen, Brenda Osorno, Lauren Ashleigh, Nicholas Hoats, Elissa George, Jordan Gaddy, Benjamin Paden, Tony Slade, Gerald Motes, Linnea Quigley, Shawn Rees",English,"Weston, Florida, USA",,Jürgen Gömez,2,Ben Wilder,compulsión,1,laurence,9,,
Sharkenstein," Action,  Horror,  Sci-Fi",16-Aug-16,USA,,2.4,85 min,"Directed by Mark Polonia. With Greta Volkova, James Carolus, Titus Himmelberger, Jeff Kirkendall. In the final days of World War II, a secret experiment to weaponize sharks is shut down and destroyed by the Third Reich. But now 60 years later, a small ocean town is plagued by a bloodthirsty, mysterious creature, one built and reanimated using parts of the greatest killers to ever inhabit in the sea - the Sharkenstein monster!","Greta Volkova, James Carolus, Titus Himmelberger, Jeff Kirkendall, Ken Van Sant, Yolie Canales, Kathryn Sue Young, Steve Diasparra, Bruce Applegate, Christopher Beacom, Chyenne Bostwick, Todd Carpenter, Austin Dragovich, Cody Getz, Kline Kaufer",English,,,Christopher Leveaux,2,Mark Polonia,devil,46,bart,8,,
Helter Skelter," Drama,  Horror",14-Jul-12,Japan,,6.4,,"Directed by Mika Ninagawa. With Kiko Mizuhara, Yôsuke Kubozuka, Kaori Momoi, Erika Sawajiri. Top star Lilico undergoes multiple cosmetic surgeries to her entire body. As her surgeries show side effect, Lilico makes the lives of those around her miserable as she tries to deal with her career and her personal problems.","Kiko Mizuhara, Yôsuke Kubozuka, Kaori Momoi, Erika Sawajiri, Gô Ayano, Nao Ohmori, Shinobu Terajima, Mieko Harada, Anne Suzuki, Hirofumi Arai, Susumu Terajima, Shô Aikawa, Daimaô Kosaka, Megumi, Yumiko Hara",Japanese,"Tokyo, Japan",,Marissa Merrill,2,Mika Ninagawa,hell,26,meteor,8,,
Dabbe Dab6e, Horror,11-Sep-15,Turkey,,6.1,153 min,"Directed by Hasan Karacadag. With Elcin Atamgüc, Burak Cimen, Ömer Duran, Nilay Gök. A series of weird and terrible events happen to a young girl after she witnesses her mother's death by supernatural forces. Summoning a Doctor, who has a similar experience with another girl, unraveled clandestine and awful incidents leading to unexpected outcomes.","Elcin Atamgüc, Burak Cimen, Ömer Duran, Nilay Gök, Fehmi Karaarslan, Murat Sevis, Sema Simsek, Aybike Turan, Volkan Ünal",Turkish,,,Tess Antonio,2,Hasan Karacadag,bloody,17,said,8,,
Inbred," Comedy,  Horror",21-Sep-12,UK,R,5.2,98 min,"Directed by Alex Chandon. With Jo Hartley, James Doherty, Seamus O'Neill, James Burrows. Four young offenders and their care workers visit the remote Yorkshire village of Mortlake, which prides on keeping itself to itself. A minor incident with locals rapidly escalates into a blood-soaked, deliriously warped nightmare.","Jo Hartley, James Doherty, Seamus O'Neill, James Burrows, Terry Haywood, Nadine Mulkerrin, Chris Waller, Neil Leiper, Derek Melling, Damien Lloyd-Davies, Mark Rathbone, Ted Metcalf, Dominic Brunt, Mat Fraser, George Newton",English,"Thirsk, North Yorkshire, England, UK",1250000,Angela Trimbur,2,Alex Chandon,haunting,17,threatened,8,,
Domicile, Horror,8-Aug-17,USA,,2.7,82 min,"Directed by Jared Cohn. With Steve Richard Harris, Demetrius Stear, Katherine Flannery, Sara Malakul Lane. Russel Brody, a one-time successful playwright, works diligently on a follow-up play that could land him back in the spotlight he so early craves. With a baby on the way, however, and a strained marriage, stress and frustration take center stage. When his wife accidentally stumbles down the stairs and dies from her injuries, Brody's mental state goes from bad to one of utter despair. In a bid to ...","Steve Richard Harris, Demetrius Stear, Katherine Flannery, Sara Malakul Lane, Amanda Ruth Ritchie, Julian Bane, Todd Carroll, Kelly Erin Decker, Cara Mitsuko, Tom Newth, Angela Nicholas, David Palmieri",English,"Pasadena, California, USA",,Sally Phillips,2,Jared Cohn,rising,11,bannister,8,,
Paranormal Movie," Comedy,  Horror",9-Apr-13,USA,NOT RATED,2.2,88 min,"Directed by Kevin P. Farley. With Kevin P. Farley, Carly Craig, Nicky Whelan, Eric Roberts. A man, long haunted by the paranormal, captures on camera the horror and hilarity he and his beautiful girlfriend encounter after moving into a new home.","Kevin P. Farley, Carly Craig, Nicky Whelan, Eric Roberts, William Katt, Tom Sizemore, Maria Menounos, John Farley, Deep Roy, Ashley C. Williams, Fred Stoller, Robert Hays, Sandra Taylor, Chip Coffey, Josh Hansen",English,"Beverly Hills, California, USA",,Oaklee Pendergast,2,Kevin P,attack,9,backwoods,8,,
HoneyBee, Horror,18-Oct-16,USA,,7.1,95 min,"Directed by Nicki Harris. With Jane Wiedlin, Lorin Partalis, Connie Saltzman, Rocco Michaluk. A quiet town is jumpstarted by the arrival of an enigmatic family; a statuesque mother named Louisa and her gorgeous teenage sons. Sixteen Year-Old Hilary is working hard to get good grades, hoping to escape the small town life a long line of relatives lived before her. With the arrival of the mysterious family just weeks before school is to let out, life suddenly becomes appealing. Hilary's ...","Jane Wiedlin, Lorin Partalis, Connie Saltzman, Rocco Michaluk, Pokey Spears, Garrett Richmond, Justin Parks, Suzanne Jaehne, Kerry Logan, Emerald Rose Sullivan, Corey Camperchioli, Nathan Ross Murphy, Claire Hughto, Jason Parks, Andrew Start",English,,250000,Joel Geist,2,Nicki Harris,frankenstein,8,possess,8,,
Raju Gari Gadhi, Horror,22-Oct-15,India,,5.3,135 min,"Directed by Omkar. With Ashwin Babu, Dhanya Balakrishna, Chethan Cheenu, Dhanraj. There is a haunted house in Nandigama. Dead bodies of 34 people resurface in house's well over a period of time. A TV channel plans to host a reality show in that haunted house.","Ashwin Babu, Dhanya Balakrishna, Chethan Cheenu, Dhanraj, Shamna Kasim, Krishna Murali Posani, Sapthagiri",Telugu,India,250000000,Valerie Tian,2,Omkar,inside,8,connected,8,,
Hellbenders," Comedy,  Horror,  Thriller",23-May-13,Russia,R,4.8,85 min,"Directed by J.T. Petty. With Clifton Collins Jr., Clancy Brown, Andre Royo, Robyn Rikoon. The Augustine Interfaith Order of Hellbound Saints, a team of blasphemous ministers who live in a constant state of debauchery, work to drag the worst of demons back to Hell.","Clifton Collins Jr., Clancy Brown, Andre Royo, Robyn Rikoon, Macon Blair, Stephen Gevedon, Larry Fessenden, Dan Fogler, Aaron Auslender, Edoardo Ballerini, Larry Block, Patricia Bruno, Samantha Buck, Dan Chen, Nadim Choudhary",English,"Brooklyn, New York City, New York, USA",,Rhed Bustamante,2,J,lust,8,legacy,8,,
American Poltergeist, Horror,22-Jul-16,Philippines,,3.2,73 min,"Directed by Jordan Pacheco. With Tony Moran, Christopher P. O'Reilly, Nicole Lasala, Dan Liebman. A group of amateur paranormal investigators, frustrated with the lack of any solid evidence after months of attempts, decide to provoke and taunt spirits from the afterlife in a last ditch attempt for a paranormal encounter. The experiment works, but they have awakened something angry and very deadly - something that follows them home and now will not leave. The investigators must now defend ...","Tony Moran, Christopher P. O'Reilly, Nicole Lasala, Dan Liebman, Jami Tennille, Sean Carmichael, Kati Salowsky, Camille Farnan, Michaelah Noelle Nunes, Charles Everett Tacker, Jeanne Lohnes, Kenneth Siddons, Jaquelyn Fabian, Paul Flebotte, Angel Connell",English,"Lizzie Borden Bed & Breakfast, Fall River, Massachusetts, USA",1500000,Kandis Fay,2,Jordan Pacheco,poltergeist,8,main,8,,
White Slaves K-Town, Horror,6-Jan-17,USA,,6.2,74 min,"Directed by Felicity Yeung, Billy Hendrickson. With Diana Prince, Dawna Lee Heising, Andy Dick, Joan Apperson. A diabolical woman runs a dangerous brothel for missing girls.","Diana Prince, Dawna Lee Heising, Andy Dick, Joan Apperson, Mikhail Gabriel Curri, Walter Hochbrueckner, Kiera King, Art Roberts, Tony Schauf, Vera R. Taylor, Ashlyn Thompson, Adam Trash, Anthony Usewicz",English,"Hollywood, California, USA",85000,Julie Chapin,2,"Felicity Yeung, Billy Hendrickson",life,6,madsen,8,,
Home," Drama,  Horror,  Thriller",1-Mar-16,USA,NOT RATED,4,87 min,"Directed by Frank Lin. With Heather Langenkamp, Samantha Mumba, Kerry Knuppe, Alessandra Shelby Farmer. Carrie, a young religious fundamentalist, is abandoned by her missionary father and has to move in with her mother, who came out of the closet and married another woman. Not only that, but they have a biological child, Tia. The story takes place over the first two days at a strange new house, as Carrie's new parents leave for a business trip, she must take care of her stepsister. As creepy ...","Heather Langenkamp, Samantha Mumba, Kerry Knuppe, Alessandra Shelby Farmer, Aaron Hill, Lew Temple, Alison Dahlstrom, Lou Glenn, Oto Brezina",English,,,Mario Casas,2,Frank Lin,rape,6,abilities,8,,
Wish Upon," Fantasy,  Horror,  Thriller",14-Jul-17,USA,PG-13,5.1,90 min,"Directed by John R. Leonetti. With Joey King, Ryan Phillippe, Ki Hong Lee, Mitchell Slaggert. A teenage girl discovers a box that carries magic powers and a deadly price for using them.","Joey King, Ryan Phillippe, Ki Hong Lee, Mitchell Slaggert, Shannon Purser, Sydney Park, Elisabeth Röhm, Josephine Langford, Alexander Nunez, Daniela Barbosa, Kevin Hanchard, Sherilyn Fenn, Raegan Revord, Alice Lee, Victor Sutton",English,"Toronto Ontario, Canada",12000000,Vincent Cusimano,2,John R,tree,6,intentions,8,,
Profane Exhibit, Horror,2013,Canada,,3.4,,"Directed by Jeremy Kasten, Uwe Boll, Ruggero Deodato. With Christine Ahanotu, Dídac Alcaraz, U. Bernard, Stephanie Bertoni. Deep within the underbelly of Paris, there is a club which is the home of a secret, wicked society. At first it resembles an ordinary fetish or Goth nightclub, but within the cavernous building are many hidden rooms, one of which is known as ""The Room of Souls,"" a private gathering place of the world's richest and most evil people. Their host is the elegant yet frightening Madame Sabatier. For ...","Christine Ahanotu, Dídac Alcaraz, U. Bernard, Stephanie Bertoni, Jennifer Bliman, Jiji Bû, Leonardo Capoccia, Tara Cardinal, Beatrice Deodato, Rob Doak, Mario Dominick, L. Dora, Dan Ellis, Norman England, Art Ettinger",English|Japanese,,,Renny Grames,2,"Jeremy Kasten, Uwe Boll, Ruggero Deodato",town,5,created,8,,
Insectula," Comedy,  Horror,  Sci-Fi",13-Mar-15,USA,NOT RATED,5.7,101 min,"Directed by Michael Peterson. With Pasquale Pilla, Arielle Cezanne, Harrison Matthews, Sarah French. A giant alien mosquito-type insect is drawn to earth from the CO2 pollution in search of blood. Del, a government agent, loses loved ones to the creature and is on a personal vendetta while the Dr. Kempler is captivated by it and attempts to help the creature cleanse the earth.","Pasquale Pilla, Arielle Cezanne, Harrison Matthews, Sarah French, Christian Hanson, Joel Thingvall, Hanna Hudson, Yasmin Moon, Antonia Kurtz, H.T. Altman, Brandon NeSmith, John Edel, Jeff Gigler, Nicole Kruex, Trey Hanson",English,"St. Paul, Minnesota, USA",,Poppy Drayton,2,Michael Peterson,demons,4,opportunity,8,,
Follow Dark," Drama,  Horror,  Romance,  Thriller",11-Oct-13,USA,UNRATED,4.6,112 min,"Directed by Mark Edwin Robinson. With Mischa Barton, Ryan Eggold, Leah Pipes, Frank Ashmore. A woman reeling from the death of her parents becomes attached to an alluring man whose sudden disappearance sends her and her friends into a haunted high-rise to find him","Mischa Barton, Ryan Eggold, Leah Pipes, Frank Ashmore, Melinda Browne, Andy Chan, Ronnie Clark, Melinda Cohen, Ward Edmondson, Jessee Foudray, Mary Ann Gilbert, Willow Hale, Richard Johnson, Kenni Kinsey, Tammy Klein",English,,5000000,Paul Worley,2,Mark Edwin Robinson,freddy,4,100,8,,
Tulpa Perdizioni mortali," Horror,  Thriller",20-Jun-13,Italy,,4.7,84 min,"Directed by Federico Zampaglione. With Claudia Gerini, Michela Cescon, Ivan Franek, Giorgia Sinicorni. Lisa Boeri is a successful businesswoman obsessed with her career - on day. But on night, she is visiting private nightclub Tulpa, club where your sickest, most erotic fantasies come true.","Claudia Gerini, Michela Cescon, Ivan Franek, Giorgia Sinicorni, Nuot Arquint, Laurence Belgrave, Giulia Bertinelli, Yohann Chopin, Cristian Di Sante, Pierpaolo Lovino, Michele Placido, Crisula Stafida, Ennio Tozzi",Italian,"EUR, Rome, Lazio, Italy",,Danil Andreev,2,Federico Zampaglione,light,4,ai,8,,
White Coffin," Action,  Horror,  Thriller",1-Dec-16,Argentina,,4.3,75 min,"Directed by Daniel de la Vega. With Rafael Ferro, Ivan Baumgart, Alma Benitez, Julieta Cardinali. Virginia will do the impossible in order to rescue her little daughter who has been abducted. After an accident, she has the chance to live one day more to save her. On her path, she will find out that there are worst things than death.","Rafael Ferro, Ivan Baumgart, Alma Benitez, Julieta Cardinali, Marina Cohen, Lucio Darío Da Silva, Damián Dreizik, Fiorela Duranda, Rafael Ferro, María Alejandra Figueroa, Ana Maria Haramboure, Verónica Intile, Carlos Rogelio Mazzocchi, Pablo Pinto, Maria Lucrecia Rodriguez",Spanish,,,Mary Bogle,2,Daniel de la Vega,moon,4,overrun,8,,
Soulmate," Horror,  Mystery",12-Jul-14,USA,NOT RATED,5.1,104 min,"Directed by Axelle Carolyn. With Anna Walton, Tom Wisdom, Tanya Myers, Nick Brimble. Widowed Audrey retreats to an isolated Welsh cabin after a failed suicide attempt, to recuperate. Still haunted by the tragic death of her husband and struggling with her psychosis, she begins to hear strange noises.","Anna Walton, Tom Wisdom, Tanya Myers, Nick Brimble, Emma Cleasby, Guy Armitage, Rebecca Kiser, Amelia Tyler, Felix Coles, Anubis",English,"Brecon, Powys, Wales, UK",600000,Jennifer Polansky,2,Axelle Carolyn,pretty,4,grows,8,,
Night Living Dead Rebirth, Horror,2017,USA,,,,"Directed by Roger Conners. With Aswan Harris, Roger Conners, Alvin Hudson, Rachel Anderson. What begins as an annual visit to their family grave-site quickly becomes a night of sheer terror as two brothers are unexpectedly forced to fight back against a sudden onslaught of violent assailants. Soon, eight complete strangers find themselves barricaded inside a rural farmhouse in an attempt to survive against the ever-growing army of murderous creatures outside.","Aswan Harris, Roger Conners, Alvin Hudson, Rachel Anderson, Bradley Michael Arner, Taylor Nelms, Jim Strang, Hailey Moltz, John Chiara, RJ Messenger, Benny Benzino, Dan Peters, Donald Beyer, Brad Davis, Jennifer Anderson",English,,12000,Brittini Schreiber,2,Roger Conners,snow,4,bottom,8,,
Rogue River," Horror,  Thriller",16-Jan-12,UK,R,4.3,81 min,"Directed by Jourdan McClure. With Michelle Page, Art Alexakis, Chris Coy, Michael Cudlitz. While spreading her father's ashes, Mara meets Jon who offers to give her a ride. Risking everything to escape this hell she's entered, she won't stop running until she finds safety.","Michelle Page, Art Alexakis, Chris Coy, Michael Cudlitz, Lucinda Jenney, Bill Moseley",English,"Grants Pass, Oregon, USA",2000000,Dave Campbell,2,Jourdan McClure,u,4,hansen,8,,
Curse Robert Doll, Horror,12-Sep-16,UK,,4.3,79 min,"Directed by Andrew Jones. With Lee Bane, Nigel Barber, Tiffany Ceri, Suzie Frances Garton. A cash strapped student who starts working the night shift at a Museum suspects that one of the exhibits, a creepy vintage doll named Robert, is alive and wreaking havoc after hours.","Lee Bane, Nigel Barber, Tiffany Ceri, Suzie Frances Garton, Jason Homewood, Chris Bell, Steven Dolton, Bobby Cole, Clare Gollop, Richard Burman, Christopher Hale, Felicity Boylett, Sophie Cole, Kate Piper, Andrew Williams",,,,Meera,2,Andrew Jones,visions,4,independent,8,,
Kingdom Sin, Horror,10-Jul-16,USA,,,90 min,"Directed by Albert Kwak. With Bree Olson, Jack Rovello, Maritza Brikisak, Ashley Forte. When two couples decide to swap their partners in a swinger's club, they uncover horrors about their other half they had never known.","Bree Olson, Jack Rovello, Maritza Brikisak, Ashley Forte, Pablo Nuñez, Lisa Chambliss, Christopher Cedeño, Kimora Brock, Leo Seo, Grant Benjamin Leibowitz",English,,,Talitha Eliana Bateman,2,Albert Kwak,volume,4,escaping,8,,
Asylum Blackout," Horror,  Thriller",4-May-12,USA,NOT RATED,5.6,85 min,"Directed by Alexandre Courtès. With Rupert Evans, Kenny Doughty, Joseph Kennedy, Dave Legeno. A group of cooks at an asylum for the criminally insane get locked in with the inmates during a massive thunderstorm.","Rupert Evans, Kenny Doughty, Joseph Kennedy, Dave Legeno, Richard Brake, Marcus Garvey, Anna Skellern, Darren Kent, Philippe Résimont, Claude Stark, Chuck Hargrove, Booker T. Franklin, Nina Newman, Bruce Geduldig, Sifiane El Asad",English,"Brussels, Brussels-Capital, Belgium",500000,Josh Eal,2,Alexandre Courtès,,4,exact,8,,
Playing Dolls Havoc," Horror,  Thriller",18-Jul-17,USA,,5.3,78 min,"Directed by Rene Perez. With Nicole Stark, Kyle Clarke, John Scuderi, Stormi Maya. (This version of the film is Uncensored and uncut) When serial killer Havoc escapes from his prison, there is no holding back. He descends upon unsuspecting lovers in their cabin get away. The world's most brutal killer is loose and his thirst for blood cannot be stopped.","Nicole Stark, Kyle Clarke, John Scuderi, Stormi Maya, Jade Ellis, Robert Koroluck, Malorie Glavan, Chase Ayers, Matt Doyle, Oliver Müller, Reese Austyn, Jacob Angstadt, Karin Brauns, Sergio D'Oro",English|English,,,Andy Winton,2,Rene Perez,cementerio,3,fallen,8,,
Resurrection," Horror,  Thriller",22-Mar-13,USA,R,4,89 min,"Directed by Matt Orlando. With Mischa Barton, Brenden Meers, Devon Sawa, Michael Clarke Duncan. A murdered boys spirit seeks revenge by seeking six souls to live again.","Mischa Barton, Devon Sawa, Michael Clarke Duncan, J. Michael Trautmann, Stuart Stone, Nick Jandl, Matthew Willig, Alanna Janell, Morgan Wolk, Brenden Meers, Annie Kitral, Todd Bellinger, Antonio Costa, Tyler Courtad, Patrick de Ledebur",English|Spanish,"Pennsylvania, USA",5000000,Alexander Granach,2,Matt Orlando,creep,3,voodoo,8,,
Mimic," Drama,  Fantasy,  Horror,  Mystery,  Thriller",17-Aug-17,South Korea,,6,100 min,"Directed by Jung Huh. With Jin Heo, Jun Hyeok Lee, Hyuk-kwon Park, Shin Rin-Ah. The Jangsan Tiger, who mimics human voices to lure them close, encounters a family affected by the creature.","Jin Heo, Jun Hyeok Lee, Hyuk-kwon Park, Shin Rin-Ah, Jung-ah Yum",Korean,,,Stephanie Lemelin,2,Jung Huh,cursed,3,further,8,,
Tormented," Horror,  Thriller",27-Jan-16,Philippines,TV-MA,4.8,83 min,"Directed by Audrey Cummings. With Alysa King, Samora Smallwood, Bart Rochon, Aaron Chartrand. Kylie Winters, a bullied and self-loathing teen, reluctantly agrees to babysit at an isolated country mansion on Halloween night. When a small boy in a pig mask appears at the door trick-or-treating, Kylie's night transforms into a horrifying and violent cat-and-mouse game. She must go beyond what she ever thought possible if she and the children are to survive the night.","Alysa King, Samora Smallwood, Bart Rochon, Aaron Chartrand, Madison Ferguson, Cristophe Gallander, Leo Pady, Robert Nolan, Josee Young, Daphne Moens, Marcus Tarnoy, Daniel Stolfi, Sofia Troop, Michael Lipka, Alys Crocker",English,,,Denis Rafter,2,Audrey Cummings,diaries,3,prevent,8,,
Night Wolf," Action,  Horror,  Thriller",1-Apr-12,USA,R,4.5,81 min,"Directed by Jonathan Glendening. With Isabella Calthorpe, Tom Felton, Gemma Atkinson, Josh Bowman. Sarah Tyler returns to her troubled family home in the isolated countryside, for a much put-off visit. As a storm rages outside, Sarah, her family and friends shore up for the night, cut off from the outside world. But something comes out of the driving rain and darkness. Something that holds a dark secret so devastating that, in one night, it could wipe out the entire family.","Isabella Calthorpe, Tom Felton, Gemma Atkinson, Josh Bowman, Gabriel Thomson, Peter Gadiot, Antony De Liseo, Sue Scadding, John Lynch, Cornelius Clarke, Simon MacCorkindale, Cassie",English,"Surrey, England, UK",,Maureen Pelamati,2,Jonathan Glendening,lights,3,character,8,,
Slink," Horror,  Thriller",14-Jun-13,USA,TV-MA,2.7,80 min,"Directed by Jared Masters. With Julia Faye West, Dawna Lee Heising, Anthony Del Negro, Art Roberts. In the rural town of Wickenhaven, a psychotic tanning salon owner is responsible for the disappearances of many young, innocent girls, while his wife, an exotic purse designer, is willing to overlook his evil nature.","Julia Faye West, Dawna Lee Heising, Anthony Del Negro, Art Roberts, Danika Galindo, Jacqueline Larsen, David Saucedo, Tristan Alexander, Jade Bryce, Jael Lloyd, Cosondra Sjostrom, Marylyn Brooks, Samantha Poole, Geo Sargent, Emmanuelle Weisbach",English,"Hollywood, California, USA",,Erika Hoveland,2,Jared Masters,ritual,3,relentless,8,,
Stranded," Horror,  Sci-Fi",26-Jul-13,USA,NOT RATED,3.5,84 min,"Directed by Roger Christian. With Christian Slater, Amy Matysio, Michael Therriault, Brendan Fehr. Four astronauts working at a lunar base suffer a meteor strike that brings an infection that leads to paranoia, fear and death.","Christian Slater, Amy Matysio, Michael Therriault, Brendan Fehr, Ryland Alexander, Lyndon Bray, Mark D. Claxton",English,"Regina, Saskatchewan, Canada",2000000,Cesar Pereira,2,Roger Christian,sister,3,milo,8,,
Blue Elephant," Drama,  Horror,  Mystery,  Thriller",28-Jul-14,Egypt,,8.2,170 min,"Directed by Marwan Hamed. With Karim Abdel Aziz, Khaled El Sawy, Nelly Karim, Mohamed Mamdouh. The story of Dr. Yehia, a psychotherapist at Al Abbasia hospital. He works in the department treating the criminally insane, only to find his best friend to be one of the patients. Trying to help his friend he finds himself going down the rabbit hole.","Karim Abdel Aziz, Khaled El Sawy, Nelly Karim, Mohamed Mamdouh, Dareen Haddad, Lebleba, Sherine Reda, Mohamed Shahin",Arabic,"Cairo, Egypt",3500000,Jaime Ordóñez,2,Marwan Hamed,stranger,3,reveal,8,,
Comedown, Horror,25-Apr-13,Bahrain,NOT RATED,4.7,,"Directed by Menhaj Huda. With Jacob Anderson, Sophie Stuckey, Jessica Barden, Shizzio. Six friends who turn the deserted the tower block they lived in as kids into a pirate radio station soon learn they are not alone, as a resident psychopath begins hunting them down.","Jacob Anderson, Sophie Stuckey, Jessica Barden, Shizzio, Naga MC, Calum MacNab, Adam Deacon, Duane Henry, Geoff Bell, Stephen Taylor, Nerm, J. Da Flex, Stephanie Kelley, Brashna Agha, Gareth Wiley",English,,2000000,Ruby Garson,2,Menhaj Huda,tai,3,reaches,8,,
Throwback," Action,  Adventure,  Horror,  Mystery,  Thriller",2014,Australia,NOT RATED,3.9,,"Directed by Travis Bain. With Shawn Brack, Anthony Ring, Melanie Serafin, Vernon Wells. Two treasure hunters, a park ranger and an unhinged ex-cop tangle with a Yowie, the Australian Bigfoot, deep in the jungles of Far North Queensland.","Shawn Brack, Anthony Ring, Melanie Serafin, Vernon Wells, Warren Clements, Andy Bramble",English,"Cairns, Queensland, Australia",4000,Malin Akerman,2,Travis Bain,break,2,houses,8,,
Corridor," Drama,  Horror,  Sci-Fi,  Thriller",30-Mar-12,Canada,NOT RATED,4.8,98 min,"Directed by Evan Kelly. With Stephen Chambers, James Gilbert, David Patrick Flemming, Matthew Amyotte. Friends on a weekend excursion take a path into a forest that leads to death and destruction.","Stephen Chambers, James Gilbert, David Patrick Flemming, Matthew Amyotte, Glen Matthews, Mary-Colin Chisholm, Nigel Bennett, Elphege Bernard, Heather Salsbury",English,"Canning, Nova Scotia, Canada",,Ivo Nandi,2,Evan Kelly,building,2,edgar,8,,
Krampus Unleashed, Horror,1-Nov-16,USA,,2.4,,"Directed by Robert Conway. With Amelia Brantley, Bryson Holl, Caroline Lassetter, Taylor Buckley. In pursuit of buried treasure, a group of fortune hunters unearth an ancient demonic summoning stone that holds a terrible curse and awakens a timeless evil, the Krampus. After centuries of slumber, Krampus has awoken with a thirst for blood.","Amelia Brantley, Bryson Holl, Caroline Lassetter, Taylor Buckley, Tim Sauer, Emily Lynne Aiken, Daniel Link, Tori Osborn, Michael Harrelson, Linda Cushma, Travis Amery, Dujhan Brown, Juliet Rose Serrato, Kerry Keepers, William 'Bill' Connor",English,"Mesa, Arizona, USA",,David Ury,2,Robert Conway,ca,2,hart,8,,
Playback," Horror,  Thriller",9-Mar-12,USA,R,4.3,98 min,"Directed by Michael A. Nickles. With Christian Slater, Ambyr Childers, Toby Hemingway, Jonathan Keltz. A cop investigates the case of a missing local teen, though he discovers a dark secret that has been unleashed in his town, and an evil spirit that will stop at nothing to find its heir.","Luke Bonczyk, Jana Veldheer, Johnny Pacar, Ambyr Childers, Alessandra Torresani, Jennifer Missoni, Jonathan Keltz, Dorien Davies, Toby Hemingway, Kenny Stevenson, Mark Metcalf, Bernard McConnell, Christian Slater, Lisa Jane Todd, Daryl Mitchell",English,"Grand Rapids, Michigan, USA",1600000,Florencia Ríos,2,Michael A,cornfield,2,sky,8,,
Re-Kill," Action,  Horror",16-Oct-15,USA,R,5,88 min,"Directed by Valeri Milev. With Bruce Payne, Daniella Alonso, Roger Cross, Scott Adkins. It's been 5 years since the Re-Animates outbreak that wiped out 85% of the world's population. Within a few cities, the Re-Animates have been segregated into ""zones"" and are policed by the R-Division of the QUASI S.W.A.T. Unit.","Bruce Payne, Daniella Alonso, Roger Cross, Scott Adkins, Jesse Garcia, Angelena Swords, Dimiter Doichinov, Yo Santhaveesuk, Aaron Jay Rome, Layke Anderson, Raicho Vasilev, Claire Garrett, Rocky Marshall, Kanesha Washington, Dean J. West",English,"Baton Rouge, Louisiana, USA",9500000,Gian Keys,2,Valeri Milev,deliver,2,sakurai,8,,
Wolf Town," Horror,  Thriller",28-Feb-12,USA,R,3.1,90 min,"Directed by Roel Reiné. With Alicia Ziegler, Levi Fiehler, Max Adler, Josh Kelly. Kyle, a shy college student finds himself and three of his friends trapped in an old western ghost town by a pack of ferocious wolves and has to overcome his personal fears to confront the wolves and lead his friends to safety.","Alicia Ziegler, Levi Fiehler, Max Adler, Josh Kelly, Maureen Menyhart, Chris Parmele, Tracker Parmele, Carly Paremele, Peter Menyhart, Dave Bourne, The Wolves",English,"Whitehorse Ranch, Landers, California, USA",,Dusty W. Fleischman,2,Roel Reiné,dementia,2,vhs,8,,
Diário de um Exorcista," Horror,  Thriller",25-May-16,Brazil,TV-MA,4.5,98 min,"Directed by Renato Siqueira. With Renato Siqueira, Fabio Tomasini, Diego Andrade, Adriano Arbol. When a mysterious tragedy traumatizes his family, the young Lucas Vidal wakes up to a challenging mission of fighting against the biggest enemy of God and of mankind: The Devil himself. The story (based in true facts) of Father Lucas Vidal - one of Latin America's most experienced exorcists - is told in its scariest details. Get to know the war between exorcists and these terrible beings which ...","Renato Siqueira, Fabio Tomasini, Diego Andrade, Adriano Arbol, Priscilla Avelar, Celso Batista, Fábio Cadôr, Olívia Camargo, Paulo Contato, Elisabeth de Jesus, Vininha de Moraes, Anabiara Dias, Waldemar Dias, Ruben Espinoza, Silvana Farina",Portuguese,,650000,Jeff Allen,2,Renato Siqueira,drifter,2,flesheating,8,,
